Time,ZoneTemp,PMV,Energy_kWh,HeatingSetPoint,CoolingSetPoint
Timestamp,22.218821360883705,0.3,1.2,20.0,22.2
Timestamp,22.782505438452525,0.3,1.2,20.0,22.2
Timestamp,22.714417339165177,0.3,1.2,20.0,22.2
Timestamp,22.598604523316666,0.3,1.2,20.0,22.2
Timestamp,22.472270233705395,0.3,1.2,20.0,22.2
Timestamp,22.34227368066754,0.3,1.2,20.0,22.2
Timestamp,22.21627883775766,0.3,1.2,20.0,22.2
Timestamp,22.097375332738235,0.3,1.2,20.0,22.2
Timestamp,21.986098068661747,0.3,1.2,20.0,22.2
Timestamp,21.882290106505135,0.3,1.2,20.0,22.2
Timestamp,21.78573235547058,0.3,1.2,20.0,22.2
Timestamp,21.69615480476849,0.3,1.2,20.0,22.2
Timestamp,21.613201388458705,0.3,1.2,20.0,22.2
Timestamp,21.536442608421762,0.3,1.2,20.0,22.2
Timestamp,21.46551337135798,0.3,1.2,20.0,22.2
Timestamp,21.399902497787867,0.3,1.2,20.0,22.2
Timestamp,21.33907515120721,0.3,1.2,20.0,22.2
Timestamp,21.2827308688558,0.3,1.2,20.0,22.2
Timestamp,21.230360891329546,0.3,1.2,20.0,22.2
Timestamp,21.181551456245312,0.3,1.2,20.0,22.2
Timestamp,21.13596988242782,0.3,1.2,20.0,22.2
Timestamp,21.093311875289267,0.3,1.2,20.0,22.2
Timestamp,21.053311807357016,0.3,1.2,20.0,22.2
Timestamp,21.01572876869665,0.3,1.2,20.0,22.2
Timestamp,20.980339811648317,0.3,1.2,20.0,22.2
Timestamp,20.6043499107947,0.3,1.2,20.0,22.2
Timestamp,20.386023118152547,0.3,1.2,20.0,22.2
Timestamp,20.26186349798107,0.3,1.2,20.0,22.2
Timestamp,20.1705570615473,0.3,1.2,20.0,22.2
Timestamp,20.13159339412227,0.3,1.2,20.0,22.2
Timestamp,20.103643970737362,0.3,1.2,20.0,22.2
Timestamp,20.073501139258408,0.3,1.2,20.0,22.2
Timestamp,20.05793196101237,0.3,1.2,20.0,22.2
Timestamp,21.385703705757106,0.3,1.2,20.0,22.2
Timestamp,22.141181207770074,0.3,1.2,20.0,22.2
Timestamp,22.19846319746231,0.3,1.2,20.0,22.2
Timestamp,22.19937332722481,0.3,1.2,20.0,22.2
Timestamp,22.535397599179564,0.3,1.2,20.0,22.2
Timestamp,22.782451828444298,0.3,1.2,20.0,22.2
Timestamp,22.924037339704782,0.3,1.2,20.0,22.2
Timestamp,23.0404716051744,0.3,1.2,20.0,22.2
Timestamp,23.143676331596456,0.3,1.2,20.0,22.2
Timestamp,23.244831277966917,0.3,1.2,20.0,22.2
Timestamp,23.3378754421408,0.3,1.2,20.0,22.2
Timestamp,23.420748343003012,0.3,1.2,20.0,22.2
Timestamp,23.387861615396663,0.3,1.2,20.0,22.2
Timestamp,23.35827861020262,0.3,1.2,20.0,22.2
Timestamp,23.374234356112236,0.3,1.2,20.0,22.2
Timestamp,23.414317917889317,0.3,1.2,20.0,22.2
Timestamp,23.231048603919067,0.3,1.2,20.0,22.2
Timestamp,23.06055390416118,0.3,1.2,20.0,22.2
Timestamp,22.989022430878705,0.3,1.2,20.0,22.2
Timestamp,22.975582164862416,0.3,1.2,20.0,22.2
Timestamp,23.19214394700704,0.3,1.2,20.0,22.2
Timestamp,23.380716273258837,0.3,1.2,20.0,22.2
Timestamp,23.463044143975818,0.3,1.2,20.0,22.2
Timestamp,23.488886956399973,0.3,1.2,20.0,22.2
Timestamp,23.55251752554849,0.3,1.2,20.0,22.2
Timestamp,23.61885619300856,0.3,1.2,20.0,22.2
Timestamp,23.665446934319014,0.3,1.2,20.0,22.2
Timestamp,23.69669502272799,0.3,1.2,20.0,22.2
Timestamp,23.65448313974244,0.3,1.2,20.0,22.2
Timestamp,23.618788702613987,0.3,1.2,20.0,22.2
Timestamp,23.614231477154217,0.3,1.2,20.0,22.2
Timestamp,23.622978787794846,0.3,1.2,20.0,22.2
Timestamp,23.4942343907503,0.3,1.2,20.0,22.2
Timestamp,23.37874414428195,0.3,1.2,20.0,22.2
Timestamp,23.325050259214787,0.3,1.2,20.0,22.2
Timestamp,23.301661478025576,0.3,1.2,20.0,22.2
Timestamp,23.278021533343896,0.3,1.2,20.0,22.2
Timestamp,23.245635782650314,0.3,1.2,20.0,22.2
Timestamp,23.207500209305557,0.3,1.2,20.0,22.2
Timestamp,23.16735771922677,0.3,1.2,20.0,22.2
Timestamp,22.497322252809916,0.3,1.2,20.0,22.2
Timestamp,22.20268510301169,0.3,1.2,20.0,22.2
Timestamp,22.19957030060105,0.3,1.2,20.0,22.2
Timestamp,22.199216944297234,0.3,1.2,20.0,22.2
Timestamp,22.199712614610387,0.3,1.2,20.0,22.2
Timestamp,22.149893873287294,0.3,1.2,20.0,22.2
Timestamp,22.080984171129394,0.3,1.2,20.0,22.2
Timestamp,21.979508193378123,0.3,1.2,20.0,22.2
Timestamp,22.16938582993964,0.3,1.2,20.0,22.2
Timestamp,22.1715301859476,0.3,1.2,20.0,22.2
Timestamp,22.162261778841533,0.3,1.2,20.0,22.2
Timestamp,22.139247506870994,0.3,1.2,20.0,22.2
Timestamp,22.07857314615825,0.3,1.2,20.0,22.2
Timestamp,22.00612385609272,0.3,1.2,20.0,22.2
Timestamp,21.93828083527208,0.3,1.2,20.0,22.2
Timestamp,21.8773713740502,0.3,1.2,20.0,22.2
Timestamp,21.82098351690904,0.3,1.2,20.0,22.2
Timestamp,21.767376153698134,0.3,1.2,20.0,22.2
Timestamp,21.7160403697026,0.3,1.2,20.0,22.2
Timestamp,21.66690568036124,0.3,1.2,20.0,22.2
Timestamp,21.619948872098384,0.3,1.2,20.0,22.2
Timestamp,21.575033156983384,0.3,1.2,20.0,22.2
Timestamp,21.53200584036966,0.3,1.2,20.0,22.2
Timestamp,21.490896940777535,0.3,1.2,20.0,22.0
Timestamp,21.450059306994596,0.3,1.2,20.0,22.0
Timestamp,21.40969602248101,0.3,1.2,20.0,22.0
Timestamp,21.37042611090695,0.3,1.2,20.0,22.0
