Time,ZoneTemp,PMV,Energy_kWh,HeatingSetPoint,CoolingSetPoint
Timestamp,22.218821360883705,0.3,1.2,20.0,22.0
Timestamp,22.782505438452525,0.3,1.2,20.0,22.0
Timestamp,22.714417339165177,0.3,1.2,20.0,22.0
Timestamp,22.598604523316666,0.3,1.2,20.0,22.0
Timestamp,22.472270233705395,0.3,1.2,20.0,22.0
Timestamp,22.34227368066754,0.3,1.2,20.0,22.0
Timestamp,22.21627883775766,0.3,1.2,20.0,22.0
Timestamp,22.097375332738235,0.3,1.2,20.0,22.0
Timestamp,21.986098068661747,0.3,1.2,20.0,22.0
Timestamp,21.882290106505135,0.3,1.2,20.0,22.0
Timestamp,21.78573235547058,0.3,1.2,20.0,22.0
Timestamp,21.69615480476849,0.3,1.2,20.0,22.0
Timestamp,21.613201388458705,0.3,1.2,20.0,22.0
Timestamp,21.536442608421762,0.3,1.2,20.0,22.0
Timestamp,21.46551337135798,0.3,1.2,20.0,22.0
Timestamp,21.399902497787867,0.3,1.2,20.0,22.0
Timestamp,21.33907515120721,0.3,1.2,20.0,22.0
Timestamp,21.2827308688558,0.3,1.2,20.0,22.0
Timestamp,21.230360891329546,0.3,1.2,20.0,22.0
Timestamp,21.181551456245312,0.3,1.2,20.0,22.0
Timestamp,21.13596988242782,0.3,1.2,20.0,22.0
Timestamp,21.093311875289267,0.3,1.2,20.0,22.0
Timestamp,21.053311807357016,0.3,1.2,20.0,22.0
Timestamp,21.01572876869665,0.3,1.2,20.0,22.0
Timestamp,20.980339811648317,0.3,1.2,20.0,22.0
Timestamp,20.6043499107947,0.3,1.2,20.0,22.0
Timestamp,20.386023118152547,0.3,1.2,20.0,22.0
Timestamp,20.26186349798107,0.3,1.2,20.0,22.0
Timestamp,20.1705570615473,0.3,1.2,20.0,22.0
Timestamp,20.13159339412227,0.3,1.2,20.0,22.0
Timestamp,20.103643970737362,0.3,1.2,20.0,22.0
Timestamp,20.073501139258408,0.3,1.2,20.0,22.0
Timestamp,20.05793196101237,0.3,1.2,20.0,22.0
Timestamp,21.38616033062772,0.3,1.2,20.0,22.0
